id;tweet_tokens;target
745405937696055296;['RT', '@jameelajamil', ':', 'Vote', 'to', 'stay', 'in', 'the', 'EU', '.', 'Brexit', 'is', 'a', 'disastrous', 'idea', 'that', "shouldn't", 'even', 'have', 'been', 'entertained', 'this', 'long', '.', 'Do', 'it', 'for', 'us', ',', 'and', 'for', 'our', 'children', '.'];stay
745405915780657154;['RT', '@SadiqKhan', ':', 'Enjoyed', 'making', 'the', 'positive', 'case', 'to', 'stay', 'in', 'the', 'EU', 'on', '#BBCDebate', '.', 'And', 'yes', '-', 'I', 'did', 'break', 'my', 'fast', 'on', 'stage', '#Ramadan', 'https://t.co/iKXLbUGeaD'];stay
745405914577047552;['RT', '@RyanSharmann', ':', 'If', 'we', 'do', 'leave', 'the', 'EU', 'I', 'think', 'we', 'should', 'go', 'somewhere', 'warm', 'like', 'the', 'caribbean', 'x'];stay
745405907882885120;['RT', '@JordanRowes', ':', "I'm", 'hearing', 'If', 'we', 'leave', 'the', 'EU', 'eggs', 'will', 'be', '£', '78', '😂', '😂', '😂', 'piss', 'off', "i'll", 'rob', 'a', 'whole', 'chicken', 'and', 'raise', 'it', 'as', 'my', 'own', 'yute'];stay
745405907136307204;['@MsVMoreno', '@billyharrisapp1', 'yes', 'no', 'one', 'is', 'saying', "we'll", 'leave', 'it', 'however', 'we', 'can', 'trade', 'with', 'the', 'rest', 'of', 'world', 'without', 'the', "eu's", 'tariffs'];leave
745405899066478592;['RT', '@RyanSharmann', ':', 'If', 'we', 'do', 'leave', 'the', 'EU', 'I', 'think', 'we', 'should', 'go', 'somewhere', 'warm', 'like', 'the', 'caribbean', 'x'];stay
745405898776948737;['RT', '@Khyberman', ':', 'Dear', 'Race-baiter', 'Remainers', "I'm", 'bullish', 'on', 'Britain', 'and', "I'll", 'be', 'voting', 'to', 'LEAVE', 'the', 'EU', '.', 'Yours', 'sincerely', ',', 'A', 'turbanned', ',', 'brown-skinned', 'Briton'];leave
745405878053048322;['RT', '@DRDaleRoberts', ':', 'I', 'have', 'done', 'this', 'poll', 'before', '.', 'This', 'will', 'be', 'the', 'last', 'time', 'I', 'do', 'it', '.', 'Should', 'the', 'UK', 'leave', 'the', 'EU', '?', '#BBCDebate', '#Brexit'];other
745405852207579136;['Net', 'immigration', 'is', 'higher', 'from', 'the', 'rest', 'of', 'the', 'world', '(', '188,000', ')', 'than', 'from', 'the', 'EU', '(', '184,000', ')', '.', 'So', 'we', 'leave', 'the', 'EU', 'and', 'what', 'exactly', 'changes', 'plz', '?'];other
745405851117170688;['RT', '@Nigel_Farage', ':', 'Clear', 'from', 'Lord', 'Heseltine', 'on', 'LBC', 'just', 'now', 'that', 'if', 'we', 'Remain', ',', 'many', 'will', 'then', 'push', 'for', 'UK', 'to', 'join', 'Euro', '.', 'We', 'must', 'vote', 'to', 'Leave', 'EU', '.'];leave
745405835103207426;['RT', '@WritingSupplier', ':', 'After', 'we', 'all', 'Vote', 'Leave', 'EU', 'Control', '-', 'we', 'need', '"', 'a', 'safe', 'pair', 'of', 'hands', '"', 'Only', 'this', 'man', 'has', 'been', 'true', 'to', 'his', 'beliefs', '.', 'https://t.co/hBvmFmhjrC'];leave
745405833928970240;['RT', '@RyanSharmann', ':', 'If', 'we', 'do', 'leave', 'the', 'EU', 'I', 'think', 'we', 'should', 'go', 'somewhere', 'warm', 'like', 'the', 'caribbean', 'x'];stay
745405829701046272;['the', 'U', '.', 'K', 'is', 'in', 'a', 'good', 'position', 'in', 'EU', '(', 'low', 'ratings', 'of', 'conflict', 'and', 'poverty', ')', 'odds', 'are', 'we', 'are', 'gonna', 'end', 'up', 'worse', 'off', 'if', 'we', 'leave'];stay
745405828530733057;['When', 'Anjem', 'Choudary', 'wants', 'the', 'UK', 'to', 'stay', 'in', 'the', 'EU', ',', 'you', 'KNOW', "it's", 'time', 'for', 'Brexit', ':', 'https://t.co/Eeoec21Txl', '…', '@BrainlessMuzzos', '@11pointbob'];leave
745405826182090752;["Einstein's", 'aether', '#remain', 'final', 'run', 'of', 'dice', 'whereby', '#leave', 'campaigners', 'greatist', 'challenge', 'to', 'eu', 'staus', 'quo', 'was', 'gov', 'enertia', '#telegraph', '#brexit'];other
745405821182443520;['RT', '@DavidJo52951945', ':', 'Vote', 'to', 'stay', 'in', 'the', 'EU', '&', 'the', 'UK', 'government', 'will', 'never', 'stop', 'giving', 'away', 'UK', 'powers', 'or', 'letting', 'the', 'EU', 'rule', 'over', 'Brits', 'https://t.co/HDqc4VE9ZM'];stay
745405819672530944;['@Evertxn', 'we', "can't", 'afford', 'for', 'it', 'to', 'get', 'any', 'worse', 'and', 'the', 'economy', 'will', 'be', 'better', 'if', 'we', 'leave', 'the', 'EU', '.'];leave
745405809132134408;['If', "you're", 'thinking', 'about', 'voting', 'to', 'leave', 'the', 'EU', 'I', 'suggest', 'you', 'throughly', 'do', 'your', 'research', 'before', 'making', 'a', 'decision', 'and', 'base', 'it', 'on', 'real', 'facts'];stay
745405807177654272;['RT', '@ktf1965', ':', '#Brexit', '#Leave', '@ukleave_eu', '@ElContador2000', '@David_Cameron', 'these', 'are', 'not', 'educated', 'law', 'abiding', 'migrants', 'or', 'Syrian', 'https://t.co/qkGp3uGYiB'];leave
745405798537379840;['RT', '@BlackObroni_xo', ':', 'Only', 'selfish', 'people', 'will', 'vote', 'for', 'the', 'UK', 'to', 'leave', 'the', 'EU'];stay
745405798268866561;['RT', '@GeorgeThe9th', ':', 'OPINION', 'POLL', ':', 'Which', 'side', 'triumphed', 'in', 'the', '#BBCdebate', '?', '...', 'EU', 'Leave', 'or', 'EU', 'Remain', '?'];other
745405793269219332;['RT', '@SadiqKhan', ':', 'Enjoyed', 'making', 'the', 'positive', 'case', 'to', 'stay', 'in', 'the', 'EU', 'on', '#BBCDebate', '.', 'And', 'yes', '-', 'I', 'did', 'break', 'my', 'fast', 'on', 'stage', '#Ramadan', 'https://t.co/iKXLbUGeaD'];stay
745405791344201728;['Tomorrow', 'is', 'the', '#Brexit', 'vote-a', 'referendum', 'in', 'the', 'UK', 'about', 'whether', 'or', 'not', 'to', 'leave', 'the', 'EU', '.', 'Dont', 'know', 'what', 'that', 'means', '?', 'https://t.co/z2RiBEWgGu'];other
745405789456764928;['RT', '@St_Gaz', ':', '#BBCDebate', 'Sadiq', 'Khan', '-', '#Leave', 'Scaremongering', '?', 'Juncker', 'tweet', 'on', 'need', 'for', 'EU', 'Army', 'https://t.co/kN9NJyJcH8'];leave
745405788227788800;['RT', 'https://t.co/cas0SRtsbl', 'The', 'Latest', ':', 'EU', 'leader', 'appeals', 'for', 'Britain', 'to', 'stay', 'in', 'EU', 'https://t.co/vyh8ITIhaR', '#Irvi', '…', 'https://t.co/ep8XXI8gvh'];other
745405785044303872;['RT', '@davidwhite020', ':', 'EU', 'is', 'undemocratic', ',', 'but', 'we', 'should', 'stay', 'in', 'and', 'try', 'to', 'reform', 'it', '.', "It's", 'much', 'better', 'for', 'countries', 'to', 'try', 'to', 'work', 'together', '.', '#LabourInForBritain'];stay
745405781483360256;['David', 'Beckham', 'announces', 'he', 'will', 'vote', 'to', 'stay', 'in', 'the', 'EU', '-', 'as', 'wife', 'Victoria', 'says', 'she', 'is', "'", 'proud', "'", 'of', 'decision', '||', 'Read', ':', 'https://t.co/Ey6a9gif2L…'];stay
745405779696459778;['RT', '@CapX', ':', 'The', 'UK', 'should', 'lead', 'the', 'EU', ',', 'not', 'leave', 'it', 'https://t.co/ivHbjIhDPu', 'https://t.co/7rWhi7xcOV'];stay
745405775464509440;['RT', '@b0redinbucks', ':', 'if', 'we', 'do', 'leave', 'the', 'EU', 'i', 'think', 'we', 'should', 'go', 'somewhere', 'warm', 'like', 'the', 'caribbean', 'x'];stay
745405769315721216;['RT', '@WritingSupplier', ':', 'When', 'you', 'vote', 'LEAVE', 'EU', 'on', 'Thursday', ',', 'this', 'pair', 'are', 'homeless', '.', 'AND', 'accountable', 'for', 'their', 'lies', ',', 'under', 'UK', 'Law', '.', 'Vote', 'Leave', 'https://t.co/o6cpE2nW8K'];stay
745405767440809984;['RT', '@Jack_Slater', ':', '.', '@Vote_Leave', 'like', 'to', 'mention', 'we', 'lost', '56', 'votes', 'in', 'the', 'EU', '.', 'They', 'fail', 'to', 'mention', 'we', 'have', 'won', '2466', '.', '#BBCDebate'];other
745405766014636032;['David', 'Beckham', 'announces', 'he', 'will', 'vote', 'to', 'stay', 'in', 'the', 'EU', '-', 'as', 'wife', 'Victoria', 'says', 'she', 'is', "'", 'proud', "'", 'of', 'decision', ':', 'https://t.co/bAjhEz2ZfL'];other
745405765935054848;['RT', '@GeorgeAylett', ':', '"', 'The', 'most', 'important', 'right', 'is', 'the', 'right', 'to', 'a', 'job', '"', '-', '3', 'million', 'jobs', 'are', 'linked', 'to', 'the', 'EU', 'which', 'are', 'at', 'risk', 'if', 'we', 'leave', '..', '#BBCDebate'];stay
745405760625061888;['RT', '@ktf1965', ':', '#Brexit', '#Leave', '@ukleave_eu', '@ElContador2000', '@David_Cameron', 'these', 'are', 'not', 'educated', 'law', 'abiding', 'migrants', 'or', 'Syrian', 'https://t.co/qkGp3uGYiB'];leave
745405745521373188;['RT', '@hannagw', ':', 'Stay', 'with', 'us', '.', 'We', 'need', 'you', 'in', 'the', 'EU', '.', '#VoteRemain', '#bbcdebat', '@AmbassadorKnott', '@BBC', 'https://t.co/lgsrtIUZxo'];stay
745405735358496769;['RT', '@Deadline', ':', 'UK', 'Producers', 'Come', 'Out', 'In', 'Favour', 'Of', 'Remain', 'Campaign', 'To', 'Stay', 'In', 'EU', 'Ahead', 'Of', 'Referendum', 'https://t.co/VHIxAg5TFR', 'https://t.co/IQSJYPKi5h'];other
745405722503053312;['RT', '@DavidJo52951945', ':', 'Vote', 'to', 'leave', 'the', 'EU', 'not', 'only', 'do', 'we', 'escape', 'the', 'EU', 'we', 'also', 'get', 'rid', 'of', 'George', 'Osborne', '&', 'David', 'Cameron', '#3Birds1Stone', 'https://t.co/PNuNqiypFv'];leave
745405721878073344;['RT', '@RyanSharmann', ':', 'If', 'we', 'do', 'leave', 'the', 'EU', 'I', 'think', 'we', 'should', 'go', 'somewhere', 'warm', 'like', 'the', 'caribbean', 'x'];stay
745405715599200256;['RT', '@SadiqKhan', ':', 'Enjoyed', 'making', 'the', 'positive', 'case', 'to', 'stay', 'in', 'the', 'EU', 'on', '#BBCDebate', '.', 'And', 'yes', '-', 'I', 'did', 'break', 'my', 'fast', 'on', 'stage', '#Ramadan', 'https://t.co/iKXLbUGeaD'];stay
745405706950475778;['RT', '@liarpoliticians', ':', 'Remain', 'got', 'nothing', ',', 'Boris', 'for', '@vote_leave', 'got', 'a', 'standing', 'ovation', 'for', 'his', 'EU', 'Debate', 'closing', 'speech', '#BBCDebate', '#Brexit', '#EURef', '#newsnight'];leave
745405702856839171;['RT', '@JacobbJudgee', ':', '72', '%', 'of', '16-24', 'year', 'old', 'want', 'to', 'stay', 'in', 'the', 'EU', '.', 'Says', 'alot', 'about', 'the', 'generation', 'that', 'WILL', 'be', 'affected', 'by', 'the', 'result', '.', '#VoteRemain'];stay
745405689900728320;['RT', '@Covuitton', ':', 'Imagine', 'England', 'leave', 'the', 'Eu', 'and', 'trump', 'becomes', 'president', 'of', 'America', '🙃', '🛫', '🌍'];stay
745405685672849408;['RT', '@SadiqKhan', ':', 'Enjoyed', 'making', 'the', 'positive', 'case', 'to', 'stay', 'in', 'the', 'EU', 'on', '#BBCDebate', '.', 'And', 'yes', '-', 'I', 'did', 'break', 'my', 'fast', 'on', 'stage', '#Ramadan', 'https://t.co/iKXLbUGeaD'];stay
745405682304724993;['RT', '@DavidJo52951945', ':', 'Vote', 'to', 'stay', 'in', 'the', 'EU', '&', 'the', 'UK', 'government', 'will', 'never', 'stop', 'giving', 'away', 'UK', 'powers', 'or', 'letting', 'the', 'EU', 'rule', 'over', 'Brits', 'https://t.co/HDqc4VE9ZM'];stay
745405680333389826;['RT', '@BrianKapz_', ':', 'Bossman', 'said', 'if', 'we', 'stay', 'in', 'the', 'EU', ',', 'it', 'will', 'be', '6', 'wings', 'for', '£', '1', '.', 'Best', 'believe', 'we', 'better', 'stay', 'in', 'the', 'EU', '.'];stay
745405658128875524;['Cats', 'would', 'vote', 'to', 'leave', 'EU', 'and', 'then', 'refuse', 'to', 'go', 'out', '||', 'NewsThump', 'https://t.co/26KvezrE1Y'];other
745405657839345664;['RT', '@Nigel_Farage', ':', 'We', 'must', 'seize', 'this', 'golden', 'opportunity', 'to', 'Leave', 'the', 'European', 'Union', 'and', 'take', 'back', 'control', 'of', 'our', 'borders', '.', 'https://t.co/LFAw5Mrtuq'];leave
745405655066902528;['RT', '@britainelects', ':', 'EU', 'referendum', 'poll', ':', 'Remain', ':', '45', '%', '(', '-', ')', 'Leave', ':', '44', '%', '(', '+', '2', ')', '(', 'via', 'Survation', ',', 'phone', '/', '20', 'Jun', ')'];other
745405650969059331;['@Evertxn', '@UnrealTouch', 'they', 'need', 'us', 'for', 'trade', 'more', 'than', 'other', 'EU', 'countries', 'so', 'will', 'need', 'to', 'leave', 'so', 'there', 'are', 'no', 'tariffs', 'on', 'trade'];leave
745405647294869504;['RT', '@BlackObroni_xo', ':', 'Only', 'selfish', 'people', 'will', 'vote', 'for', 'the', 'UK', 'to', 'leave', 'the', 'EU'];stay
745405642597240834;['RT', '@Nigel_Farage', ':', 'Fantastic', 'to', 'be', 'in', 'Clacton', 'where', 'the', 'sun', 'is', 'shining', 'and', 'there', 'is', 'huge', 'enthusiasm', 'to', 'Leave', 'EU', '!', 'https://t.co/PHvtPieydd'];leave
745405638331629569;['RT', '@britainelects', ':', 'EU', 'referendum', 'poll', ':', 'Remain', ':', '48', '%', '(', '-', ')', 'Leave', ':', '49', '%', '(', '+', '1', ')', '(', 'via', 'SurveyMonkey', '/', '17-20', ')', 'Pollster', 'not', 'a', 'member', 'of', 'BPC', '.'];other
